mesh_id	topl
D005667	C01
D005667	C17
D005683	C23
D005687	C17
D005693	C10
D005693	C16
D005693	C18
D005705	C06
D005706	C04
D005715	F03
D005719	OTH
D005723	OTH
D005734	C23
D005738	C01
D005756	C06
D005757	C06
D005759	C06
D005764	C06
D005767	C06
D005769	C06
D005770	C04
D005776	C10
D005776	C16
D005776	C18
D005831	OTH
D005832	OTH
D005833	C04
D005865	OTH
D005871	C15
D005871	C20
D005873	C01
D005873	C06
D005878	C16
D005878	C18
D005879	C10
D005879	C16
D005879	F03
D005882	OTH
D005884	C23
D005885	OTH
D005886	OTH
D005889	OTH
D005891	C01
D005901	C11
D005902	C11
D005907	OTH
D005909	C04
D005910	C04
D005916	OTH
D005918	C04
D005919	OTH
D005921	OTH
D005922	C20
D005923	OTH
D005926	C23
D005928	OTH
D005929	OTH
D005938	OTH
D005944	OTH
D005947	OTH
D005951	OTH
D005953	C16
D005953	C18
D005955	C15
D005955	C16
D005955	C18
D005973	OTH
D005996	OTH
D005998	OTH
D006008	C16
D006008	C18
D006009	C10
D006009	C16
D006009	C18
D006010	C16
D006010	C18
D006011	C16
D006011	C18
D006012	C16
D006012	C18
D006014	C05
D006014	C10
D006014	C16
D006014	C18
D006029	C18
D006030	C16
D006030	C18
D006031	OTH
D006042	C19
D006044	C19
D006053	C05
D006053	C16
D006059	C16
D006059	C19
D006061	C16
D006061	C19
D006069	C01
D006073	C05
D006073	C16
D006073	C18
D006083	C23
D006084	C20
D006086	C20
D006087	C20
D006099	C15
D006099	C23
D006105	C15
D006105	C16
D006105	C20
D006111	C11
D006111	C19
D006111	C20
D006128	OTH
D006130	C23
D006151	OTH
D006167	F03
D006177	C17
D006192	C01
D006197	OTH
D006200	C17
D006201	C17
D006209	C23
D006211	C10
D006211	C16
D006212	C10
D006212	C23
D006222	C04
D006223	C04
D006228	C05
D006228	C16
D006242	OTH
D006250	C10
D006250	C16
D006250	C18
D006255	C08
D006255	C20
D006258	C04
D006259	C10
D006261	C23
D006262	OTH
D006309	C05
D006309	F03
D006311	C10
D006311	C23
D006312	C10
D006312	C23
D006313	C10
D006313	C23
D006314	C10
D006314	C23
D006316	C10
D006316	C23
D006319	C10
D006319	C23
D006321	C14
D006323	C14
D006327	C14
D006327	C23
D006330	C14
D006330	C16
D006331	C14
D006332	C14
D006332	C23
D006333	C14
D006334	OTH
D006337	C23
D006339	OTH
D006340	OTH
D006341	C14
D006343	C14
D006343	C16
D006344	C14
D006344	C16
D006345	C14
D006345	C16
D006349	C14
D006356	C23
D006359	OTH
D006373	C01
