ppid	indication_mesh_id
18272	D011041
18351	D001289
5340	D012514
4377	D060737
17995	D009181
7350	D008228
2195	D007172
5897	D001281
4827	D006938
4609	D014605
18344	D053201
39743	D015451
36489	D002289
30289	D003924
29451	D011565
28330	D016553
27542	D059352
25950	D054058
25542	D020246
39424	D013281
10784	D005901
4416	D004427
4400	D007239
264	D054198
14475	D007239
4260	D004827
4260	D009437
18973	D010003
10112	D060737
10112	D012874
15684	D014376
13548	D009181
15581	D008113
15669	D009101
8728	D007172
5947	D011471
3876	D010190
2478	D006938
2341	D013203
27317	D003865
7347	D009059
5327	D004696
1951	D013927
25863	D014009
7381	D009771
9058	D001281
8039	D013514
7174	D006509
4686	D013035
12330	D007239
5799	D009203
9718	D009203
1329	D010001
1329	D010145
1329	D010144
7469	D004830
4381	D018805
2783	D003093
7876	D011014
5896	D019247
18368	D011471
57462	D006086
19039	D005128
6178	D008080
9754	D006660
37139	D009447
15740	D008881
19125	D001228
11893	D000077299
16619	D006073
14683	D004938
4691	D055752
12834	D003924
14049	D020522
22964	D009190
24520	D013789
14236	D008654
68818	D016706
39743	D020522
61565	D008545
11485	D014552
13195	D009203
10775	D005764
7539	D013203
1377	D003863
23039	D008593
40516	D006073
3035	D005128
32075	D018295
29734	D013167
28688	D015451
25950	D013927
25936	D010534
17949	D003248
17923	D000152
16173	D004685
14742	D005356
9099	D012559
5802	D004938
4643	D013919
1512	D011087
22709	D029424
13528	D052256
6243	D014353
35872	D014245
8271	D012852
12953	D006973
5317	D005348
3002	D006976
14521	D059352
7419	D050171
18511	D004715
26813	D011552
33392	D014839
33392	D009325
14174	D013276
1506	D015470
14447	D007637
1627	D004938
30907	D011041
3140	D009447
18521	D009203
30452	D013167
28876	D000172
22964	D046152
36484	D003876
34327	D011655
11893	D018805
3119	D009293
4691	D012516
13450	D020250
14214	D013313
86043	D029481
15731	D003704
1155	D003922
11991	D004415
31771	D015535
29052	D009437
28985	D013921
28655	D055623
27741	D012509
25936	D010051
18511	D011629
17923	D012871
15581	D013964
5819	D015140
4643	D007383
4232	D013274
242	D015477
7456	D006561
18984	D018149
5903	D007022
24206	D006967
4686	D013514
12093	D059226
15704	D010003
18534	D053201
5569	D004829
17979	D008228
4428	D006069
12153	D013274
9763	D006373
8691	D003876
17290	D059226
11905	D003424
18053	D059226
9352	D001932
9352	D005909
9352	D008527
9352	D008224
13442	D010437
168521	D012532
37139	D054198
143754	D004489
2253	D008228
12749	D009437
19014	D003863
61565	D002289
16597	D000437
14683	D001650
19108	D000740
16880	D020754
68299	D003233
39433	D011565
33597	D020246
30452	D009404
32075	D010051
31771	D001172
29451	D015535
29451	D003424
25411	D006973
13041	D006526
31771	D008180
10774	D008303
6928	D004414
4601	D006255
4232	D010190
5356	D015470
39025	D029424
4672	D014552
39321	D003267
35872	D005873
18124	D013276
7176	D013276
5799	D006333
1418	D011565
24981	D006333
7419	D050197
28637	D000086382
14115	D002289
18511	D001943
31309	D006816
16009	D013290
15732	D008881
16253	D001932
16253	D005909
16253	D008527
39595	D006333
36484	D006086
7885	D010051
31002	D009290
4982	D008581
7539	D059413
34740	D003877
4781	D009203
14249	D015658
23039	D020249
32764	D006333
13041	D005873
11840	D000544
5940	D003863
5802	D006258
1951	D016491
1382	D007172
10764	D006509
3002	D014456
1142	D011471
15704	D002386
12113	D009059
5569	D001008
17979	D005909
17979	D008527
17979	D001932
18124	D004381
5164	D020521
5164	D002545
17182	D011008
4143	D010001
4143	D010144
4143	D010145
4143	D010024
18475	D006561
9763	D009855
12160	D020528
14916	D004700
24189	D004829
41182	D008881
37139	D008228
43142	D054559
4483	D048909
16174	D006937
13402	D000172
16009	D006976
4635	D006333
1627	D016393
14049	D000075363
31002	D001289
4691	D010051
10766	D001714
10935	D011014
15718	D011618
5678	D008881
13282	D007177
39743	D006086
11013	D012141
1364	D008881
1469	D006973
1155	D003924
12160	D008113
127583	D003920
6468	D054058
34938	D015470
22698	D010149
14742	D051474
4643	D020521
4643	D002545
866	D010024
10819	D009203
12778	D064420
22880	D010149
18984	D006333
16669	D054058
11905	D015212
8468	D014945
1382	D013514
41545	D010300
37139	D009396
14447	D011183
1627	D015464
14683	D001471
30452	D003882
27828	D053201
68818	D009902
3140	D054198
19078	D011471
10397	D014552
7539	D011014
14916	D012127
7350	D020522
24405	D029481
22923	D000152
19736	D020961
14471	D048909
8874	D000740
8728	D006976
7137	D016411
4231	D059226
1813	D003267
17508	D006973
14242	D000787
2876	D000152
10983	D051437
16173	D060585
14115	D010051
18368	D006177
39136	D001168
39743	D018442
14447	D015352
14409	D000544
18983	D001749
15771	D003924
1192	D006949
30452	D009103
22915	D020522
68818	D014605
14916	D000690
18908	D013514
12160	D000072716
34473	D011471
32014	D054198
28637	D018805
19717	D012559
19074	D001943
17878	D008180
17252	D004831
5940	D005356
15001	D001714
6297	D014581
10819	D020152
17979	D001749
33198	D011014
7381	D011293
87052	D007003
8610	D011629
33583	D013514
11947	D009369
17182	D000881
19059	D008228
10112	D006660
12871	D009140
1627	D008545
14683	D008654
27850	D009103
30452	D013036
28876	D047748
36484	D055728
68818	D001172
68818	D003424
39595	D003922
15726	D004357
14321	D015043
12280	D059226
12727	D008269
18272	D001172
86043	D003550
12727	D003930
32532	D018295
29052	D010149
12528	D015228
12306	D012852
4750	D012628
13574	D000740
4609	D000741
7350	D009101
13452	D006961
6297	D012221
5802	D013274
8039	D004715
26813	D013203
17979	D006689
8271	D006192
18031	D020249
7419	D015228
14269	D016411
3129	D003863
18201	D007249
37139	D012208
37139	D015470
25184	D015658
1627	D010190
18521	D011085
32422	D012559
22964	D017681
10935	D000077299
16883	D015658
15760	D012148
18908	D003930
5646	D009765
27439	D004829
15692	D003967
12306	D011014
8874	D008228
8874	D018442
4643	D048909
4601	D001249
5356	D015464
2982	D013927
15704	D001172
5548	D059226
17969	D006258
8271	D014069
27850	D002547
5308	D013514
2044	D015228
1951	D009203
14924	D006509
10774	D010911
18201	D059352
19125	D060585
6178	D005185
37139	D016889
64448	D011565
57462	D001943
14366	D009765
1627	D009101
1627	D009369
8678	D006973
68818	D005128
118819	D006973
4436	D010149
36489	D017728
14742	D001008
5940	D001008
4231	D009437
1444	D001943
5308	D013927
4225	D006333
5802	D010051
18528	D013514
37139	D006258
2028	D000787
30452	D001172
13282	D004487
3119	D059226
24906	D001714
7828	D004828
4781	D013927
17878	D003093
15805	D004827
15669	D020522
8874	D020522
1963	D003865
17970	D012512
15906	D011008
35872	D060737
10990	D008881
14738	D004485
15669	D016393
14788	D001145
37139	D012516
43472	D059226
43472	D059352
30452	D001171
27584	D018358
15604	D000072716
3140	D009190
4982	D008527
4982	D001932
4982	D005909
29734	D003093
25081	D001943
13517	D013274
10339	D020250
87052	D003920
24206	D003233
12787	D000437
38962	D059352
40890	D059226
2105	D014581
14447	D012859
27850	D013119
16597	D009765
68818	D010392
118819	D009203
14683	D002583
16988	D013313
3140	D009101
18368	D010024
18908	D006470
14471	D050197
36335	D020246
33198	D003371
4601	D012221
7381	D001714
4371	D014552
13522	D006519
16173	D004941
25696	D013035
37039	D000224
37139	D012512
18535	D012874
40890	D013281
30452	D017285
34876	D058496
14321	D004381
15688	D014376
31771	D013167
18979	D004829
18358	D065768
13517	D008113
70073	D003233
5850	D011470
9084	D001859
17182	D002006
37139	D010051
37139	D011471
2028	D001145
1627	D005770
13282	D004489
68818	D015535
2972	D001145
17878	D001172
15692	D043183
13517	D005770
12716	D000474
6103	D003865
16814	D002239
16669	D009203
4428	D008193
14115	D013736
18207	D059268
3044	D059226
37139	D013964
143754	D004487
30452	D014605
17710	D000787
